Placa|año_fiscal,monto pagado,concepto_lc|año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc| año_fiscal,monto pagado,concepto_lc,,,,,,,,,,,,,,,,
578MA|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ603|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00XKK|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00XIN|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000TQ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
F27BCD|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00TJS|2020,1689,38|2019,1625,38|2018,1912,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
CB431|2020,1689,38|2019,1625,38|2018,1912,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
CB091|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1706,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
235WO|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F87AUS|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,39|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
G78AKX|2019,1625,38|2019,1625,38|2018,1545,38|2018,1545,38|2017,1465,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L90ADT|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
039FY|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459IL|2020,1689,38|2020,1189,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00WPA|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
G78AJS|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92AOA|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1758,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
C30AUV|2018,1545,38|2017,1465,38|2016,1408,38|2015,1763,38|2014,1785,38|2013,1828,38|2011,1173,38|2010,1127,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
039HY|2020,1689,38|2019,1625,38|2018,1545,38|2017,1912,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
E92AEY|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1764,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00UWU|2018,1545,38|2017,1465,38|2016,1408,38|2016,1204,37|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
C30AMI|2020,1689,38|2019,1625,38|2018,1912,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
F45BKE|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F92ART|2017,1465,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98ANP|2017,1465,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00YUX|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F27AYI|2019,1625,38|2018,1545,38|2017,1465,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080HM|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92ADU|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00GVE|2020,1689,38|2019,1625,38|2018,1912,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
039PW|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00ZMB|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|2010,1127,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
L90BAW|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00WXS|2020,1689,38|2019,1625,38|2018,1545,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00ZAV|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
080TL|2020,1689,38|2020,1189,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00IEJ|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92BGU|null,null,false|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30AHA|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F87AJS|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00YTC|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
D69AOY|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00VUP|2020,1689,38|2020,1189,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
F45AEF|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
C30AKV|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2009,1623,38|2008,1586,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F87BGM|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F45AMP|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B25ALL|2019,891,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1669,38|2013,1761,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
L90AEV|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080JR|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00UDW|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
F45AMZ|2020,1689,38|2019,1987,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
346GJ|2020,1689,38|2019,891,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00YXC|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|2009,1616,38|2008,1579,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00GYO|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
C30AIW|2020,1689,38|2020,1189,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
G66AQD|2020,1689,38|2020,1189,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
D69AKT|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
000AX|2020,1689,38|2019,1987,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D69AAT|2019,1625,38|2019,1625,38|2018,1545,38|2017,1465,38|2017,1465,38|2015,1366,38|2015,1366,38|2014,1314,38|2014,1314,38|2013,1266,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,
F27BCX|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A10XGS|2020,1689,38|2019,1625,38|2018,1545,38|2017,1912,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA338|2020,1689,38|2019,1625,38|2018,1912,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
F27ANR|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2016,1204,37|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
CB171|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2016,1204,37|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
A00HUH|2017,1465,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10XAG|2020,1689,38|2019,1987,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L90AGY|2020,1689,38|2018,1545,38|2017,1465,38|2017,1465,38|2016,1408,38|2015,1706,38|2014,1775,38|2013,1818,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00WOH|2020,1689,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2012,1215,38|2012,1215,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
039DU|2020,1689,38|2019,891,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2011,1173,38|2010,1127,38|0,1005,38|,,,,,,,,,,,,,,,,,,
000FX|2020,1689,38|2020,1189,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,
F92AFF|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189KA|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
A00VDK|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
189ZX|2020,1689,38|2019,1987,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|2013,1266,38|2009,1616,38|2008,1579,38|,,,,,,,,,,,,,,,,,,,,,,
CB689|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|2012,1215,38|2011,1173,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,
B25BGX|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
039SJ|2017,1465,38|2015,1366,38|2014,1709,38|2013,1266,77|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F87ABF|2020,1689,38|2019,1625,38|2018,1545,39|2017,1465,38|2015,1366,38|2014,1314,38|2013,1266,77|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,
M23AFZ|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,
A00ASA|2020,1689,38|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,77|2009,1616,38|,,,,,,,,,,,,,,,,,,,,,,,,
235YV|2018,1545,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|0,1005,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D98ACZ|2019,1625,38|2018,1545,38|2017,1465,38|2016,1408,38|2015,1366,38|2014,1314,38|2013,1266,38|,,,,,,,,,,,,,,,,,,,,,,,,,,,,
